$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$
6.339e-47 1.8066 2.4839e-18 2.4839e-18 4.2213e-16 0 7.6495e-26 8.91e-55 6.5072e-57 2.2891e-57 3.0884e-72 9.9921e-61 8.5528e-49 5.9578e-44 1.8593e-44 1.2135e-108 8.6786e-90 1.5858e-73 2.134e-60 4.0188e-51
9.1633e-48 1.8066 2.4839e-18 2.4839e-18 1.1103e-15 0 2.0119e-25 3.3876e-55 2.4741e-57 8.7034e-58 2.1364e-71 6.9122e-60 5.9166e-48 4.1214e-43 1.2862e-43 1.7542e-109 1.2546e-90 2.2924e-74 3.0848e-61 5.8094e-52
1.3246e-48 1.8066 2.4839e-18 2.4839e-18 2.9202e-15 0 5.2917e-25 1.288e-55 9.4066e-58 3.3091e-58 1.4779e-70 4.7817e-59 4.0929e-47 2.8511e-42 8.8977e-43 2.5358e-110 1.8135e-91 3.3138e-75 4.4593e-62 8.3978e-53
1.9148e-49 1.8066 2.4839e-18 2.4839e-18 7.6806e-15 0 1.3918e-24 4.897e-56 3.5764e-58 1.2581e-58 1.0224e-69 3.3079e-58 2.8314e-46 1.9723e-41 6.1552e-42 3.6657e-111 2.6216e-92 4.7903e-76 6.4462e-63 1.214e-53
2.768e-50 1.8066 2.4839e-18 2.4839e-18 2.0201e-14 0 3.6607e-24 1.8619e-56 1.3598e-58 4.7835e-59 7.0726e-69 2.2883e-57 1.9587e-45 1.3644e-40 4.258e-41 5.299e-112 3.7896e-93 6.9247e-77 9.3183e-64 1.7549e-54
4.0013e-51 1.8066 2.4839e-18 2.4839e-18 5.3132e-14 0 9.628e-24 7.0789e-57 5.17e-59 1.8187e-59 4.8926e-68 1.583e-56 1.3549e-44 9.4383e-40 2.9455e-40 7.6601e-113 5.4782e-94 1.001e-77 1.347e-64 2.5368e-55
5.7841e-52 1.8066 2.4839e-18 2.4839e-18 1.3975e-13 0 2.5323e-23 2.6914e-57 1.9657e-59 6.915e-60 3.3846e-67 1.095e-55 9.373e-44 6.529e-39 2.0376e-39 1.1073e-113 7.9191e-95 1.447e-78 1.9473e-65 3.6672e-56
8.3613e-53 1.8066 2.484e-18 2.4838e-18 3.6755e-13 0 6.6601e-23 1.0233e-57 7.4737e-60 2.6292e-60 2.3414e-66 7.5751e-55 6.4837e-43 4.5164e-38 1.4094e-38 1.6007e-114 1.1448e-95 2.0918e-79 2.815e-66 5.3015e-57
1.2087e-53 1.8066 2.4841e-18 2.4837e-18 9.6673e-13 0 1.7516e-22 3.8907e-58 2.8417e-60 9.9972e-61 1.6197e-65 5.24e-54 4.4849e-42 3.1239e-37 9.7485e-38 2.3139e-115 1.6549e-96 3.0242e-80 4.0698e-67 7.665e-58
1.7472e-54 1.8066 2.4844e-18 2.4834e-18 2.5426e-12 0 4.6058e-22 1.4792e-58 1.0805e-60 3.8019e-61 1.1205e-64 3.6245e-53 3.1018e-41 2.1603e-36 6.7406e-37 3.3449e-116 2.3926e-97 4.3726e-81 5.8852e-68 1.1085e-58
2.5257e-55 1.8067 2.4851e-18 2.4827e-18 6.6875e-12 0 1.2107e-21 5.6242e-59 4.1095e-61 1.4464e-61 7.751e-64 2.5066e-52 2.1444e-40 1.4931e-35 4.6573e-36 4.8352e-117 3.4596e-98 6.3247e-82 8.5151e-69 1.6044e-59
3.6511e-56 1.8067 2.4871e-18 2.4807e-18 1.7589e-11 0 3.1792e-21 2.1383e-59 1.5637e-61 5.5079e-62 5.362e-63 1.7326e-51 1.4811e-39 1.0304e-34 3.2116e-35 6.9896e-118 5.0051e-99 9.1573e-83 1.2338e-69 2.3266e-60
5.2779e-57 1.8068 2.4922e-18 2.4756e-18 4.6263e-11 0 8.3272e-21 8.1301e-60 5.9576e-62 2.1028e-62 3.7093e-62 1.1961e-50 1.0204e-38 7.0839e-34 2.2034e-34 1.0104e-118 7.2502e-100 1.3292e-83 1.7947e-70 3.3912e-61
7.6295e-58 1.8071 2.5057e-18 2.4623e-18 1.2168e-10 0 2.1668e-20 3.0911e-60 2.2773e-62 8.0814e-63 2.566e-61 8.2298e-50 6.9832e-38 4.8221e-33 1.4918e-33 1.4606e-119 1.0537e-100 1.9422e-84 2.6365e-71 5.0087e-62
1.1029e-58 1.8078 2.54e-18 2.4291e-18 3.2003e-10 0 5.5461e-20 1.1753e-60 8.777e-63 3.1573e-63 1.7751e-60 5.6163e-49 4.7011e-37 3.2024e-32 9.7736e-33 2.1114e-120 1.544e-101 2.8851e-85 3.97e-72 7.6453e-63
1.5943e-59 1.8095 2.6243e-18 2.351e-18 8.4173e-10 0 1.3665e-19 4.4684e-61 3.4479e-63 1.2815e-63 1.2279e-59 3.7603e-48 3.0465e-36 2.0086e-31 5.9331e-32 3.0521e-121 2.3061e-102 4.4521e-86 6.3296e-73 1.2594e-63
2.3046e-60 1.8131 2.8156e-18 2.1912e-18 2.2139e-09 0 3.1221e-19 1.6989e-61 1.4065e-63 5.6086e-64 8.4945e-59 2.4245e-47 1.8307e-35 1.125e-30 3.0973e-31 4.412e-122 3.5767e-103 7.4085e-87 1.1301e-73 2.4125e-64
